location,population,totaldeathcount,totalcasecount,death_percent
Peru,34049588,221727,4522474,0.65118849602526761900
Bulgaria,6781955,38456,1307688,0.56703413691184916400
Bosnia and Herzegovina,3233530,16362,403266,0.50601045915763886500
Hungary,9967304,48817,2207993,0.48977135642697363300
North Macedonia,2093606,9949,349618,0.47520880242032168400
Georgia,3744385,17132,1855289,0.45753842086217095700
Croatia,4030361,18414,1276216,0.45688215025899665100
Slovenia,2119843,9467,1346628,0.44658967668832078600
Montenegro,627082,2654,251280,0.42323013577171725500
Czechia,10493990,42917,4665557,0.40896741849382360800
Latvia,1850654,7388,976428,0.39921022514203087100
Slovakia,5643455,21167,1868111,0.37507165380073022600
San Marino,33690,126,24760,0.37399821905609973300
Moldova,3272993,12135,625712,0.37076156288754665800
Greece,10384972,37748,5443008,0.36348677685409262500
Lithuania,2750058,9734,1338442,0.35395617110620939600
Romania,19659270,68455,3485792,0.34820723251677198600
Gibraltar,32677,113,20550,0.34580897879242280500
United Kingdom,67508936,230974,24796408,0.34213840964698362300
United States,338289856,1138309,103436829,0.33648925021269334200
Chile,19603736,64497,5288892,0.32900361441308942300
Brazil,215313504,704659,37721749,0.32727115898870885500
Italy,59037472,192406,26230177,0.32590487614374816000
Armenia,2780472,8765,450570,0.31523424799818160400
Martinique,367512,1104,230354,0.30039835433945014000
Poland,39857144,119664,6529896,0.30023224945570610900
Paraguay,6780745,19988,735939,0.29477586902324154600
Belgium,11655923,34339,4817196,0.29460558378774465100
Trinidad and Tobago,1531043,4390,191496,0.28673263912248055700
Argentina,45510324,130472,10054576,0.28668659884732967400
Ukraine,39701744,109918,5520483,0.27685937423806873600
Russia,144713312,400195,23098734,0.27654332173670380800
Colombia,51874028,142942,6383141,0.27555600656266754500
Aruba,106459,292,44224,0.27428399665598963000
Portugal,10270857,27630,5629824,0.26901357890583035100
Serbia,6871547,18057,2567962,0.26277925480244841500
Mexico,127504120,334740,7692809,0.26253269306121245300
Guadeloupe,395762,1021,203235,0.25798333341755903800
Bermuda,64207,165,18860,0.25698132602364228200
Spain,47558632,121852,13980340,0.25621426621354457800
Austria,8939617,22534,6081287,0.25206896447577116600
France,67813000,167985,38997490,0.24771798917611667400
Guam,171783,417,52060,0.24274811826548610700
Tunisia,12356116,29423,1153361,0.23812499008588135600
Sweden,10549349,24998,2720686,0.23696248934412919700
Saint Lucia,179872,410,30150,0.22793986835082725500
Suriname,618046,1408,82588,0.22781475812479977200
Uruguay,3422796,7635,1040506,0.22306325004470029800
Liechtenstein,39355,87,21507,0.22106466776775505000
Barbados,281646,620,110091,0.22013449507537831200
Estonia,1326064,2902,602478,0.21884313275980646500
French Polynesia,306292,649,78649,0.21188930824180847000
Germany,83369840,174979,38437756,0.20988285451909227600
Sint Maarten (Dutch part),44192,92,11051,0.20818247646632874700
Bahamas,409989,844,38084,0.20585918158779869700
British Virgin Islands,31332,64,7305,0.20426401123452061800
Ecuador,18001002,36043,1069139,0.20022774287786868800
Lebanon,5489744,10947,1239904,0.19940820555566889800
Andorra,79843,159,48015,0.19914081384717508100
Panama,4408582,8658,1047727,0.19638967813233370700
Grenada,125459,238,19693,0.18970340908185144200
Finland,5540745,10280,1489281,0.18553461673475317800
Ireland,5023108,9281,1723615,0.18476608506128078500
Monaco,36491,67,17090,0.18360691677399906800
Bolivia,12224114,22404,1209431,0.18327708658476188900
Puerto Rico,3252412,5938,1252713,0.18257219565048954400
Costa Rica,5180836,9428,1238884,0.18197835252843363500
Montserrat,4413,8,1403,0.18128257421255381800
Kosovo,1782115,3212,274279,0.18023528223487260900
South Africa,59893884,102595,4072533,0.17129461832864270400
Belize,405285,688,71060,0.16975708452076933500
Malta,533293,883,120632,0.16557502161100933300
Iran,88550568,146580,7622127,0.16553253503692940700
Switzerland,8740471,14079,4418749,0.16107827598764414400
Guyana,808727,1299,73388,0.16062280596542467400
Seychelles,107135,172,50937,0.16054510664115368500
Namibia,2567024,4100,172123,0.15971802367254844500
Curacao,191173,305,45883,0.15954135782772671900
Antigua and Barbuda,93772,146,9106,0.15569679648509149900
Luxembourg,647601,1000,385445,0.15441606791836331300
Cyprus,896007,1364,660854,0.15223095355281822600
Bonaire Sint Eustatius and Saba,27052,41,11922,0.15155995859825521200
Denmark,5882259,8824,3417017,0.15001039566601878600
Jersey,110796,161,66391,0.14531210513014910300
Saint Martin (French part),31816,46,12324,0.14458134272064370100
Canada,38454328,53297,4716205,0.13859818327861560900
Isle of Man,84534,116,38008,0.13722289256393877000
French Guiana,304568,413,98041,0.13560190170996296400
Israel,9449000,12697,4840714,0.13437400783151656300
United States Virgin Islands,99479,132,25389,0.13269132178650770500
Netherlands,17564020,22986,8620051,0.13086981226393502200
Jamaica,2827382,3610,156463,0.12767995269121752900
Albania,2842318,3604,334090,0.12679791634855776200
Jordan,11285875,14122,1746997,0.12512986365700488400
Saint Vincent and the Grenadines,103959,124,9644,0.11927779220654296400
Turkey,85341248,101419,17004677,0.11883936827359262400
Eswatini,1201680,1427,75094,0.11875041608414885800
Guatemala,17843914,20235,1271070,0.11340000854072710700
Malaysia,33938216,37202,5131899,0.10961684020161814000
Palestine,5250076,5708,703228,0.10872223564001740200
New Caledonia,289959,314,80064,0.10829117220020761600
Honduras,10432858,11127,474590,0.10665342133478669000
Botswana,2630300,2800,330321,0.10645173554347412800
Guernsey,63329,67,35326,0.10579671240663834900
Norway,5434324,5732,1489459,0.10547770063028998600
Bahrain,1472237,1536,696614,0.10433102822439593600
Dominica,72758,74,15798,0.10170702878034030600
Oman,4576300,4628,399449,0.10112973362760308500
Azerbaijan,10358078,10353,833955,0.09995097546089149000
Kazakhstan,19397998,19072,1502857,0.09831942450968393700
Saint Kitts and Nevis,47681,46,6607,0.09647448669281265100
Fiji,929769,885,69047,0.09518493303175304800
Reunion,974062,921,494595,0.09455250281809576800
Libya,6812344,6437,507269,0.09449023713423749600
Australia,26177410,23289,11629977,0.08896602070258287600
Turks and Caicos Islands,45726,40,6657,0.08747758386913353500
Northern Mariana Islands,49574,41,14313,0.08270464356315810700
Mauritius,1299478,1054,309983,0.08110949165741936400
Sri Lanka,21832150,16883,672598,0.07733090877444502700
American Samoa,44295,34,8359,0.07675809910825149600
Cuba,11212198,8530,1115103,0.07607785734786346100
Anguilla,15877,12,3904,0.07558102916168041800
Belarus,9534956,7118,994037,0.07465162922618625600
Cape Verde,593162,416,64470,0.07013261132709108100
South Korea,51815808,35934,34571873,0.06934949272623520600
Wallis and Futuna,11596,8,3550,0.06898930665746809200
Mongolia,3398373,2284,1011224,0.06720863189532167300
El Salvador,6336393,4230,201809,0.06675722291846481100
New Zealand,5185289,3416,2397437,0.06587868101469368400
Maldives,523798,316,186694,0.06032859995647177000
Japan,123951696,74694,33803572,0.06026057118250322300
Kuwait,4268886,2570,666486,0.06020306000207079800
Indonesia,275501344,161918,6813429,0.05877212707898804300
Philippines,115559008,66714,4173631,0.05773154438985838300
Mayotte,326113,187,42027,0.05734208694532263400
Iraq,44496124,25375,2465545,0.05702743906413062000
Micronesia (country),114178,65,26547,0.05692865525758026900
Cayman Islands,68722,37,31472,0.05384010942638456400
Faeroe Islands,53117,28,34658,0.05271382043413596400
Iceland,372903,186,209286,0.04987892293706406200
Palau,18084,9,6246,0.04976775049767750500
Thailand,71697024,34487,4758125,0.04810102020413009100
Saint Barthelemy,10994,5,5507,0.04547935237402219400
Vietnam,98186856,43206,11624000,0.04400385322450899100
Morocco,37457976,16297,1277342,0.04350742282498125400
Marshall Islands,41593,17,16138,0.04087226215949799200
Nepal,30547586,12031,1003450,0.03938445414311952500
Dominican Republic,11228821,4384,667074,0.03904238922323189600
India,1417173120,533293,45001245,0.03763075890121314200
Greenland,56494,21,11971,0.03717208907140581300
Brunei,449002,163,312524,0.03630273361811306000
Myanmar,54179312,19494,641341,0.03598052334071721000
Sao Tome and Principe,227393,80,6601,0.03518138201263891100
Zimbabwe,16320539,5720,265821,0.03504786208347653200
Saint Pierre and Miquelon,5885,2,3426,0.03398470688190314400
Singapore,5637022,1872,2641196,0.03320902419752841100
Lesotho,2305826,709,35836,0.03074820042795943800
Solomon Islands,724272,199,25954,0.02747586542072591500
Saudi Arabia,36408824,9646,841469,0.02649357749099504000
Qatar,2695131,690,514524,0.02560172399783164500
United Arab Emirates,9441138,2349,1067030,0.02488047521389900200
Egypt,110990096,24830,516023,0.02237136545949108800
Mauritania,4736146,997,63774,0.02105087132026757600
Venezuela,28301700,5856,552695,0.02069133656282131500
Zambia,20017670,4069,349287,0.02032704105922417500
Afghanistan,41128772,7953,227454,0.01933682824276883300
Comoros,836783,161,9109,0.01924035263622707400
Kiribati,131237,24,5085,0.01828752562158537600
Cambodia,16767851,3056,138943,0.01822535278969260900
Bangladesh,171186368,29477,2045923,0.01721924493426953200
Djibouti,1120851,189,15690,0.01686218774841615900
Kyrgyzstan,6630621,1024,88908,0.01544350069171499900
Algeria,44903228,6881,271945,0.01532406534336462400
Syria,22125242,3163,57423,0.01429588883140803600
Samoa,222390,31,16778,0.01393947569584963400
Gambia,2705995,372,12626,0.01374725378280447700
Malawi,20405318,2686,88986,0.01316323519192398800
Pakistan,235824864,30656,1580631,0.01299947744271783000
Gabon,2388997,307,48992,0.01285058122718446300
Cook Islands,17032,2,7168,0.01174260216063879800
Senegal,17316452,1971,89022,0.01138223927164756400
Tonga,106867,12,16860,0.01122891070208764200
Equatorial Guinea,1674916,183,17130,0.01092592106111590100
Sudan,46874200,5046,63993,0.01076498372238886200
Rwanda,13776702,1468,133194,0.01065567071132118600
Kenya,54027484,5689,344070,0.01052982589379879300
Timor,1341298,138,23460,0.01028854139795929000
Laos,7529477,671,218891,0.008911641538980728674800
Tuvalu,11335,1,2943,0.008822232024702249669200
China,1425887360,121764,99317967,0.008539524468468533166600
Guinea-Bissau,2105580,177,9614,0.008406234861653321175200
Nauru,12691,1,5393,0.007879599716334410212000
Somalia,17597508,1361,27334,0.007734049616570709898200
Uganda,47249588,3632,171871,0.007686839512759349351400
Haiti,11585003,860,34427,0.007423390395324023653700
Cameroon,27914542,1974,125090,0.007071582976356911032200
Mozambique,32969520,2249,233654,0.006821452056323537619000
Papua New Guinea,10142625,670,46864,0.006605784991557905374600
Congo,5970430,389,25196,0.006515443611264180301900
Yemen,33696612,2159,11945,0.006407172329372460353000
Ethiopia,123379928,7574,501060,0.006138761890021527650800
Liberia,5302690,294,8090,0.005544355789231503255900
Angola,35588996,1936,105976,0.005439883721361512980000
Madagascar,29611718,1425,68354,0.004812284109959442407200
Ghana,33475870,1462,171653,0.004367324882071772891900
Vanuatu,326744,14,12019,0.004284699948583600617000
Nicaragua,6948395,245,16058,0.003525994132457927334300
Guinea,13859349,468,38563,0.003376781983049853207400
Mali,22593598,743,33159,0.003288542179072142471500
Togo,8848700,290,39524,0.003277317572072733847900
Cote d'Ivoire,28160548,835,88338,0.002965141161315468718900
Uzbekistan,34627648,1016,174575,0.002934071641250367336500
Eritrea,3684041,103,10189,0.002795842934429882837900
Bhutan,782457,21,62697,0.002683853553613808809900
Central African Republic,5579148,113,15367,0.002025398860184386576600
Burkina Faso,22673764,396,22056,0.001746511959813994712100
Democratic Republic of Congo,99010216,1468,99181,0.001482675282720320497000
Sierra Leone,8605723,126,7766,0.001464141943680966724100
Nigeria,218541216,3155,267146,0.001443663606227943748600
Tanzania,65497752,846,43078,0.001291647383562110650800
South Sudan,10913172,138,18368,0.001264526940471569585800
Tajikistan,9952789,125,17786,0.001255929368139925401800
Benin,13352864,163,28036,0.001220711901207111822600
Niger,26207982,315,9515,0.001201923902420262651300
Chad,17723312,194,7698,0.001094603536855865314600
Burundi,12889583,15,54366,0.000116373043255161939700
